category_large,data_id,name,price
SNACK,0,티포녹차쿠키,1000
SNACK,1,베베토 쿨빈스사워믹스 12개입,1000
SNACK,2,스타트레이딩 마오암 블럭스 캐러멜 110G,1000
SNACK,3,스타트레이딩 마오암 시우어 110G,1000
SNACK,4,산들 새콤달콤 동결 건조딸기칩 20G,1000
SNACK,5,오리지날 젤리빈스위트센세이션 200G,1000
SNACK,6,트롤리키스100G,1000
SNACK,7,이농스푸드 흠반점 101G,1000
SNACK,8,허니버터아몬드130G,1000
SNACK,9,머쉬멜로우과일향젤리머쉬멜로우110G,1000
SNACK,10,이클립스민트향34G,1000
SNACK,11,이클립스스트로베리향34G,1000
SNACK,12,칸츄리콘90G,1000
SNACK,13,트롤리다이노렉스200g,1000
SNACK,14,하리보골드바렌175G,1000
SNACK,15,하리보피치컵175G,1000
SNACK,16,자가비 90G,1000
SNACK,17,이클립스스피어민트향34G,1000
SNACK,18,추억의꽈배기80G,1000
SNACK,19,트롤리밀크쿠200G,1000
SNACK,20,용문산산더덕쌀과자60G,1000
SNACK,21,글로벌프리미엄초콜릿칩오트쿠키,1000
SNACK,22,3D 자이언트 콜라향 비틀젤리,1000
SNACK,23,페레로캐나다누텔라앤고,1000
SNACK,24,RicolaAG리콜라스위스레몬민트맛캔디,1000
SNACK,25,깊은숲속행복한식품아이밀냠냠유기농쌀과자퍼핑도넛노랑,1000
SNACK,26,새롬식품펭수초코프레첼80G,1000
NOODLE,27,얼큰한쌀국수92G,1000
NOODLE,28,삼경에프에스삿포로라멘미소84G,1000
HMR,29,보노 체다치즈스프 63G,1000
HMR,30,보노 포르치니 버섯스프 54G,1000
HMR,31,탐사 리얼 오메가 트릿 소고기연어 360G,1000
HMR,32,모리나가 핫케잌 믹스 300G,1000
HMR,33,주비푸드 일본식 미소장국 버섯맛 21G,1000
HMR,34,주비푸드 적초생강 80G,1000
HMR,35,양반 수라 우거지감자탕 460G,1000
HMR,36,양반 수라 녹두 삼계전복죽 420G,1000
HMR,37,양반 수라 낙지김치죽 420G,1000
HMR,38,월드그린 적강낭콩 450G,1000
HMR,39,빅마마씨푸드 해통령육수한알사골맛85G,1000
HMR,40,본아이에프 본죽 일품쇠고기미역죽500G,1000
HMR,41,고야 다진고추를채운올리브149G,1000
HMR,42,본아이에프 본죽 쇠고기장조림 170G,1000
HMR,43,양송이스프,1000
HMR,44,뉴슈가60G,1000
HMR,45,알프레도파스타&소스,1000
HMR,46,아로마FI아띠야미석류피쉬콜라겐,1000
HMR,47,해밀스페니쉬비폴렌,1000
HMR,48,투카스할리피뇨슬라이스,1000
HMR,49,칼칼한돼지고기김치찜,1000
HMR,50,해초랑무가미구운김가루,1000
HMR,51,해우촌돌김자반1+150G*2,1000
HMR,52,해우촌돌김자반50G,1000
DAILY_NECESSITY,53,콩맥스전자담배용크리닝면봉,1000
DAILY_NECESSITY,54,대진친환경위생장갑50매(24CM*28CM),1000
DAILY_NECESSITY,55,초고농축 다우니 프리미엄퍼퓸 코튼퓨어러브 1L,1000
DAILY_NECESSITY,56,문방 조은풀 초강력액체풀50ML,1000
DAILY_NECESSITY,57,지퍼락이지오픈탭미니35매,1000
DAILY_NECESSITY,58,중국)이지앤소프트부직포화장솜150P,1000
DAILY_NECESSITY,59,이벤트코리아 데일리케어물티슈100매캡형,1000
DAILY_NECESSITY,60,중국)마스크진한파랑50PACK,1000
DAILY_NECESSITY,61,중국)마스크연한파랑50PACK,1000
DAILY_NECESSITY,62,중국)일본마스크50PACK,1000
DAILY_NECESSITY,63,롯데쇼핑)미니손난로핫팩하루,1000
DAILY_NECESSITY,64,플렉사두유우유홀더,1000
DAILY_NECESSITY,65,홈스타주방용세정제상큼한오렌지향,1000
DAILY_NECESSITY,66,그린세이프에프마이홈솔루션네오큐모기향,1000
DAILY_NECESSITY,67,프로폴리테라치약클래식민트,1000
DAILY_NECESSITY,68,콜게이트맥시멈캐비티프로텍션-그레이레귤러플레버,1000
DAILY_NECESSITY,69,클렌본캐치맙주방용행주세트300MM*300MM,1000
DAILY_NECESSITY,70,홈에디션명진청소용장갑M,1000
DAILY_NECESSITY,71,가루소분저장용기_소1.1KG,1000
DAILY_NECESSITY,72,K일회용필터마스크대형50매입,1000
DAILY_NECESSITY,73,청정크린장갑,1000
DAILY_NECESSITY,74,화신공업화신공업화신원형인주(소),1000
DAILY_NECESSITY,75,희망노트사디즈니캐릭터마스코트볼펜(녹색)1개입,1000
DAILY_NECESSITY,76,해피룸해피탈취분사기향로맨틱가든180G,1000
DAILY_NECESSITY,77,해피룸해피탈취분사기향라벤더향180G,1000
DAILY_NECESSITY,78,해피룸해피탈취분사기향딸기향180G,1000
DAILY_NECESSITY,79,해피룸해피탈취분사기향레몬향180G,1000
DAILY_NECESSITY,80,해피룸해피탈취분사기향헤이즐넛향180G,1000
DAILY_NECESSITY,81,산도깨비자동분사기향라일락280ML,1000
DAILY_NECESSITY,82,산도깨비자동분사기향자스민280ML,1000
DAILY_NECESSITY,83,비카산업혼합미니백미니(소)40매,1000
DAILY_NECESSITY,84,팀넷코리아미키마우스5핀고속충전케이블1개입,1000
DAILY_NECESSITY,85,삼정펄프리빙뽑아쓰는키친타월150매,1000
DAILY_NECESSITY,86,통일산업휴대용구강청결제10개입,1000
DAILY_NECESSITY,87,톨스피아비타민C샤워기필터70ML,1000
DAILY_NECESSITY,88,톨스피아녹물차단샤워기필터무향1개입,1000
DAILY_NECESSITY,89,뉴라이프타공보드에사용하는2칸꽂이대형1개,1000
DAILY_NECESSITY,90,우일플라텍양념통300ML,1000
DAILY_NECESSITY,91,해창양념통400ML,1000
DAILY_NECESSITY,92,해창잘라쓰는소스병500ML,1000
DAILY_NECESSITY,93,해창노란색소스병580ML,1000
DAILY_NECESSITY,94,우주화학공업사스푼포함양념통450ML,1000
DAILY_NECESSITY,95,해창빨강소스병580ML,1000
DAILY_NECESSITY,96,산도깨비아로마티셔츠리필용3개입,1000
DAILY_NECESSITY,97,산도깨비아로마티셔츠후리지아1개입,1000
DAILY_NECESSITY,98,이네스트실리콘오일브러쉬1개입(갈색),1000
DAILY_NECESSITY,99,비엘코리아배수구탈취제레몬라임330ML,1000
DAILY_NECESSITY,100,비엘코리아식탁세정330ML,1000
DAILY_NECESSITY,101,이네스트실리콘오일브러쉬1개입(흰색),1000
DAILY_NECESSITY,102,MS원터치비비드보온병(자주색),1000
DAILY_NECESSITY,103,MS모던보온병,1000
DAILY_NECESSITY,104,뉴텍정공걸이형스텐수저통(원형),1000
DAILY_NECESSITY,105,MS원터치비비드보온병(화이트),1000
DAILY_NECESSITY,106,MS원터치비비드보온병(핑크),1000
DAILY_NECESSITY,107,MS원터치비비드보온병(브론즈),1000
DAILY_NECESSITY,108,MS스텐워터보틀330ML(하늘색),1000
DAILY_NECESSITY,109,MS스텐워터보틀330ML(베이지),1000
DAILY_NECESSITY,110,브니엘산업브니엘수저통,1000
DAILY_NECESSITY,111,한솔제관마스킹테이프틴케이스보관함,1000
DAILY_NECESSITY,112,뉴텍정공걸이형스텐수저통(직사각형),1000
DAILY_NECESSITY,113,뉴텍정공와이어부착스텐다용도통,1000
DAILY_NECESSITY,114,선인장모양석고방향제(레몬),1000
DAILY_NECESSITY,115,사과모양방향제80G,1000
DAILY_NECESSITY,116,모노톤메모홀더(400매),1000
DAILY_NECESSITY,117,스틸펜꽂이,1000
DAILY_NECESSITY,118,미니연필깎이(옐로우),1000
DAILY_NECESSITY,119,미니연필깎이(민트),1000
DAILY_NECESSITY,120,바로꽂아쓰는연필깎이(옐로우),1000
DAILY_NECESSITY,121,바로꽂아쓰는연필깎이(민트),1000
DAILY_NECESSITY,122,파인라이너수성펜,1000
DAILY_NECESSITY,123,원형펜꽂이(소),1000
DAILY_NECESSITY,124,원형펜꽂이(중),1000
DAILY_NECESSITY,125,모노톤펜꽂이,1000
DAILY_NECESSITY,126,후크부착다용도걸이(대),1000
DAILY_NECESSITY,127,스타일빨래집게14P,1000
DAILY_NECESSITY,128,홀앤홀흡착큐방10P,1000
DAILY_NECESSITY,129,아로마티셔츠라벤더,1000
DAILY_NECESSITY,130,아로마티셔츠로즈마리,1000
DAILY_NECESSITY,131,아로마티셔츠리필3P(후리지아),1000
DAILY_NECESSITY,132,비타민C샤워기필터은은한라벤더향,1000
DAILY_NECESSITY,133,비타민C샤워기필체리블라썸향,1000
DAILY_NECESSITY,134,청소기방향제10G*3,1000
DAILY_NECESSITY,135,아로마티셔츠숲속향,1000
DAILY_NECESSITY,136,쓰레기통냄새탈취제라벤더향,1000
DAILY_NECESSITY,137,쓰레기통냄새탈취제레몬향,1000
DAILY_NECESSITY,138,통김솔,1000
DAILY_NECESSITY,139,다회용소주컵60ML,1000
DAILY_NECESSITY,140,후크부착다용도걸이(소),1000
DAILY_NECESSITY,141,토끼모양보풀제거기,1000
